"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003",556.931126031837,1.64056555038308e-06,0.00144267969168163,0.695393994140029,0.999948855117813
"ENSG00000000419",254.157143275272,9.52033956712785e-07,0.00144267131759777,0.819898295346717,0.999948855117813
"ENSG00000000457",207.209378997664,-2.61269342049867e-06,0.00144267840837781,0.465820189748798,0.999948855117813
"ENSG00000000460",508.399070322169,-1.63102450988074e-06,0.00144268783164646,0.5432946419921,0.999948855117813
"ENSG00000000938",12.3158834062702,-7.1568548899463e-07,0.00144269287463995,0.579114601747085,0.999948855117813
"ENSG00000000971",23.4593375541311,-6.47542248547383e-07,0.00144269298241363,0.601965417805605,0.999948855117813
"ENSG00000001036",1732.05699420245,-7.20073449675818e-07,0.00144269025140327,0.697101292588253,0.999948855117813
"ENSG00000001084",323.036440073731,-6.74819661833981e-08,0.00144268109601059,0.980700737607972,0.999948855117813
"ENSG00000001167",376.882637216484,2.78486919125106e-08,0.00144263722846148,0.997725176403417,0.999948855117813
"ENSG00000001460",152.801087015978,-8.35997844621238e-07,0.00144268326812748,0.773625347853163,0.999948855117813
"ENSG00000001461",820.800171461677,9.08337588255082e-07,0.00144268213970001,0.769865521316418,0.999948855117813
"ENSG00000001497",460.383908598454,1.82575861418222e-06,0.00144266130317308,0.714754665947459,0.999948855117813
"ENSG00000001561",511.82577014419,-9.32419669359867e-07,0.00144266059990536,0.850240526224712,0.999948855117813
"ENSG00000001617",105.5265666024,-2.88059407591797e-06,0.0014426837927397,0.342722273507803,0.999948855117813
"ENSG00000001626",22.6615881009325,-3.82024028434648e-07,0.00144269473330643,0.449497802965606,0.999948855117813
"ENSG00000001629",1225.82634127609,6.6510195464729e-06,0.0014426295242401,0.360877403739957,0.999948855117813
"ENSG00000001631",511.089885346504,9.9968653345899e-06,0.00144264330692977,0.157282265091943,0.999948855117813
"ENSG00000002016",80.2162153512859,1.77335408082464e-07,0.00144268618076963,0.946261324811069,0.999948855117813
"ENSG00000002330",73.3215684801488,-3.18715326143628e-06,0.00144268446557193,0.286367540944581,0.999948855117813
"ENSG00000002549",484.30226972976,2.79302779974624e-06,0.00144267580226387,0.470450759836128,0.999948855117813
"ENSG00000002586",505.422350904071,-3.79498293822496e-06,0.00144266532916686,0.429987295502068,0.999948855117813
"ENSG00000002587",20.8934480807827,8.67561340504515e-07,0.00144268840907302,0.698729337858009,0.999948855117813
