Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR479052.chr21_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.00651890482398957)	(48, 0.00651890482398957)	(50, 0.00651890482398957)	(52, 0.00651890482398957)	(54, 0.00651890482398957)	(56, 0.00651890482398957)	(58, 0.00651890482398957)	(60, 0.00651890482398957)	(62, 0.00651890482398957)	(64, 0.00651890482398957)	(66, 0.00651890482398957)	(68, 0.00651890482398957)	(70, 0.00651890482398957)	(72, 0.00651890482398957)	(74, 0.01303780964797914)	(76, 0.01303780964797914)	(78, 0.03585397653194264)	(80, 0.1760104302477184)	(82, 1.3722294654498044)	(84, 4.367666232073012)	(86, 7.405475880052151)	(88, 10.48891786179922)	(90, 12.764015645371577)
SRR479052.chr21_1 - polya	(1, 0.02607561929595828)	(2, 0.03259452411994785)	(3, 0.03259452411994785)	(4, 0.03259452411994785)	(5, 0.03259452411994785)	(6, 0.03259452411994785)	(7, 0.03259452411994785)	(8, 0.03911342894393742)	(9, 0.03911342894393742)	(10, 0.05541069100391134)	(12, 0.0651890482398957)	(14, 0.06844850065189048)	(16, 0.09126466753585398)	(18, 0.09452411994784876)	(20, 0.12059973924380704)	(22, 0.1499348109517601)	(24, 0.18252933507170796)	(26, 0.20208604954367665)	(28, 0.20860495436766624)	(30, 0.2151238591916558)	(32, 0.2183833116036506)	(34, 0.2346805736636245)	(36, 0.2672750977835724)	(38, 0.2737940026075619)	(40, 0.2803129074315515)	(42, 0.3194263363754889)	(44, 0.3455019556714472)	(46, 0.3520208604954368)	(48, 0.35853976531942633)	(50, 0.3617992177314211)	(52, 0.3846153846153846)	(54, 0.40091264667535853)	(56, 0.40743155149934807)	(58, 0.423728813559322)	(60, 0.423728813559322)	(62, 0.4367666232073012)	(64, 0.4563233376792699)	(66, 0.4791395045632334)	(68, 0.5052151238591917)	(70, 0.5215123859191656)	(72, 0.5312907431551499)	(74, 0.5508474576271186)	(76, 0.5573663624511083)	(78, 0.5638852672750978)	(80, 0.5932203389830508)	(82, 0.5997392438070405)	(84, 0.6323337679269883)	(86, 0.6551499348109517)	(88, 0.6812255541069101)	(90, 0.6975228161668839)
SRR479052.chr21_1 - polyg	(1, 0.00651890482398957)	(2, 0.00651890482398957)	(3, 0.00651890482398957)	(4, 0.00651890482398957)	(5, 0.00651890482398957)	(6, 0.00651890482398957)	(7, 0.00651890482398957)	(8, 0.00651890482398957)	(9, 0.00651890482398957)	(10, 0.00651890482398957)	(12, 0.00651890482398957)	(14, 0.00651890482398957)	(16, 0.00651890482398957)	(18, 0.00651890482398957)	(20, 0.00651890482398957)	(22, 0.00651890482398957)	(24, 0.00651890482398957)	(26, 0.00651890482398957)	(28, 0.01303780964797914)	(30, 0.01303780964797914)	(32, 0.01955671447196871)	(34, 0.01955671447196871)	(36, 0.01955671447196871)	(38, 0.01955671447196871)	(40, 0.022816166883963495)	(42, 0.02607561929595828)	(44, 0.02607561929595828)	(46, 0.02607561929595828)	(48, 0.03585397653194264)	(50, 0.03911342894393742)	(52, 0.0423728813559322)	(54, 0.04563233376792699)	(56, 0.05867014341590613)	(58, 0.07496740547588004)	(60, 0.0880052151238592)	(62, 0.09778357235984356)	(64, 0.13363754889178617)	(66, 0.15645371577574968)	(68, 0.19882659713168188)	(70, 0.2379400260756193)	(72, 0.2607561929595828)	(74, 0.28683181225554105)	(76, 0.33572359843546284)	(78, 0.3715775749674055)	(80, 0.40091264667535853)	(82, 0.4661016949152542)	(84, 0.5182529335071708)	(86, 0.5541069100391134)	(88, 0.6062581486310299)	(90, 0.6258148631029987)
SRR479052.chr21_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.003259452411994785)	(20, 0.00651890482398957)	(22, 0.00651890482398957)	(24, 0.009778357235984355)	(26, 0.01303780964797914)	(28, 0.022816166883963495)	(30, 0.02607561929595828)	(32, 0.02607561929595828)	(34, 0.02607561929595828)	(36, 0.02607561929595828)	(38, 0.02607561929595828)	(40, 0.02607561929595828)	(42, 0.02607561929595828)	(44, 0.02607561929595828)	(46, 0.02607561929595828)	(48, 0.03259452411994785)	(50, 0.03259452411994785)	(52, 0.03259452411994785)	(54, 0.03585397653194264)	(56, 0.03911342894393742)	(58, 0.03911342894393742)	(60, 0.03911342894393742)	(62, 0.03911342894393742)	(64, 0.03911342894393742)	(66, 0.03911342894393742)	(68, 0.03911342894393742)	(70, 0.03911342894393742)	(72, 0.03911342894393742)	(74, 0.03911342894393742)	(76, 0.04563233376792699)	(78, 0.08148631029986962)	(80, 0.22490221642764013)	(82, 1.4374185136897002)	(84, 4.46870925684485)	(86, 7.597783572359843)	(88, 10.8116036505867)	(90, 13.070404172099087)
SRR479052.chr21_2 - polya	(1, 0.03259452411994785)	(2, 0.04563233376792699)	(3, 0.05215123859191656)	(4, 0.05215123859191656)	(5, 0.05867014341590613)	(6, 0.05867014341590613)	(7, 0.0651890482398957)	(8, 0.07170795306388526)	(9, 0.07822685788787484)	(10, 0.11082138200782268)	(12, 0.1531942633637549)	(14, 0.1760104302477184)	(16, 0.20208604954367665)	(18, 0.22164276401564537)	(20, 0.23142112125162972)	(22, 0.2835723598435463)	(24, 0.2966101694915254)	(26, 0.3096479791395046)	(28, 0.33572359843546284)	(30, 0.348761408083442)	(32, 0.3520208604954368)	(34, 0.3617992177314211)	(36, 0.3878748370273794)	(38, 0.4041720990873533)	(40, 0.423728813559322)	(42, 0.43350717079530643)	(44, 0.44328552803129073)	(46, 0.4563233376792699)	(48, 0.4791395045632334)	(50, 0.48565840938722293)	(52, 0.5182529335071708)	(54, 0.5638852672750978)	(56, 0.5769230769230769)	(58, 0.5801825293350718)	(60, 0.589960886571056)	(62, 0.6095176010430248)	(64, 0.6290743155149935)	(66, 0.6486310299869622)	(68, 0.6551499348109517)	(70, 0.6649282920469362)	(72, 0.6747066492829205)	(74, 0.6910039113428944)	(76, 0.7007822685788787)	(78, 0.7170795306388527)	(80, 0.7235984354628422)	(82, 0.7333767926988266)	(84, 0.7529335071707953)	(86, 0.7822685788787485)	(88, 0.7953063885267275)	(90, 0.7953063885267275)
SRR479052.chr21_2 - polyg	(1, 0.00651890482398957)	(2, 0.01303780964797914)	(3, 0.01303780964797914)	(4, 0.01303780964797914)	(5, 0.01955671447196871)	(6, 0.02607561929595828)	(7, 0.02607561929595828)	(8, 0.03259452411994785)	(9, 0.03259452411994785)	(10, 0.03259452411994785)	(12, 0.03585397653194264)	(14, 0.03911342894393742)	(16, 0.03911342894393742)	(18, 0.0423728813559322)	(20, 0.04563233376792699)	(22, 0.04563233376792699)	(24, 0.04563233376792699)	(26, 0.04563233376792699)	(28, 0.04563233376792699)	(30, 0.04563233376792699)	(32, 0.04563233376792699)	(34, 0.05215123859191656)	(36, 0.05867014341590613)	(38, 0.05867014341590613)	(40, 0.06844850065189048)	(42, 0.07170795306388526)	(44, 0.07170795306388526)	(46, 0.07170795306388526)	(48, 0.07170795306388526)	(50, 0.07170795306388526)	(52, 0.07170795306388526)	(54, 0.07170795306388526)	(56, 0.07170795306388526)	(58, 0.07170795306388526)	(60, 0.07170795306388526)	(62, 0.07822685788787484)	(64, 0.0847457627118644)	(66, 0.0880052151238592)	(68, 0.10430247718383312)	(70, 0.10430247718383312)	(72, 0.11082138200782268)	(74, 0.12059973924380704)	(76, 0.1271186440677966)	(78, 0.13689700130378096)	(80, 0.14341590612777053)	(82, 0.14667535853976532)	(84, 0.15645371577574968)	(86, 0.1760104302477184)	(88, 0.20534550195567144)	(90, 0.2151238591916558)
SRR479054.chr21_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.010260619741432383)	(14, 0.010260619741432383)	(16, 0.010260619741432383)	(18, 0.010260619741432383)	(20, 0.010260619741432383)	(22, 0.020521239482864766)	(24, 0.020521239482864766)	(26, 0.020521239482864766)	(28, 0.020521239482864766)	(30, 0.020521239482864766)	(32, 0.020521239482864766)	(34, 0.020521239482864766)	(36, 0.020521239482864766)	(38, 0.020521239482864766)	(40, 0.020521239482864766)	(42, 0.020521239482864766)	(44, 0.020521239482864766)	(46, 0.020521239482864766)	(48, 0.020521239482864766)	(50, 0.020521239482864766)	(52, 0.020521239482864766)	(54, 0.020521239482864766)	(56, 0.020521239482864766)	(58, 0.020521239482864766)	(60, 0.020521239482864766)	(62, 0.020521239482864766)	(64, 0.020521239482864766)	(66, 0.020521239482864766)	(68, 0.020521239482864766)	(70, 0.020521239482864766)	(72, 0.020521239482864766)	(74, 0.020521239482864766)	(76, 0.020521239482864766)	(78, 0.020521239482864766)	(80, 0.14364867638005335)	(82, 0.9491073260824954)	(84, 3.1807921198440385)	(86, 5.658731787399959)	(88, 8.034065257541556)	(90, 10.11697106505233)
SRR479054.chr21_1 - polya	(1, 0.010260619741432383)	(2, 0.020521239482864766)	(3, 0.020521239482864766)	(4, 0.03078185922429715)	(5, 0.03078185922429715)	(6, 0.04104247896572953)	(7, 0.0615637184485943)	(8, 0.0615637184485943)	(9, 0.09234557767289145)	(10, 0.1179971270264724)	(12, 0.12825774676790477)	(14, 0.13851836650933716)	(16, 0.15390929612148574)	(18, 0.15390929612148574)	(20, 0.20521239482864764)	(22, 0.2513851836650934)	(24, 0.2719064231479581)	(26, 0.3026882823722553)	(28, 0.3232095218551201)	(30, 0.3591216909501334)	(32, 0.3693823106915658)	(34, 0.3847732403037143)	(36, 0.4001641699158629)	(38, 0.4104247896572953)	(40, 0.42068540939872767)	(42, 0.44120664888159244)	(44, 0.4925097475887544)	(46, 0.5079006772009029)	(48, 0.5130309870716191)	(50, 0.5335522265544839)	(52, 0.5438128462959163)	(54, 0.5592037759080648)	(56, 0.5745947055202134)	(58, 0.5951159450030782)	(60, 0.6207674943566591)	(62, 0.6258978042273753)	(64, 0.6310281140980916)	(66, 0.6464190437102401)	(68, 0.6464190437102401)	(70, 0.6720705930638211)	(72, 0.697722142417402)	(74, 0.7131130720295507)	(76, 0.7541555509952802)	(78, 0.7695464806074287)	(80, 0.7849374102195772)	(82, 0.8054586497024421)	(84, 0.8105889595731582)	(86, 0.831110199056023)	(88, 0.8413708187974553)	(90, 0.8618920582803201)
SRR479054.chr21_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.010260619741432383)	(16, 0.010260619741432383)	(18, 0.010260619741432383)	(20, 0.010260619741432383)	(22, 0.010260619741432383)	(24, 0.010260619741432383)	(26, 0.010260619741432383)	(28, 0.010260619741432383)	(30, 0.010260619741432383)	(32, 0.015390929612148574)	(34, 0.020521239482864766)	(36, 0.020521239482864766)	(38, 0.020521239482864766)	(40, 0.020521239482864766)	(42, 0.03078185922429715)	(44, 0.03078185922429715)	(46, 0.03078185922429715)	(48, 0.03078185922429715)	(50, 0.03078185922429715)	(52, 0.03078185922429715)	(54, 0.03078185922429715)	(56, 0.03591216909501334)	(58, 0.06669402831931048)	(60, 0.09747588754360764)	(62, 0.12825774676790477)	(64, 0.15390929612148574)	(66, 0.1744305356043505)	(68, 0.21547301457008003)	(70, 0.2359942540529448)	(72, 0.26164580340652577)	(74, 0.2770367330186743)	(76, 0.3026882823722553)	(78, 0.33860045146726864)	(80, 0.3642520008208496)	(82, 0.3899035501744305)	(84, 0.44120664888159244)	(86, 0.482249127847322)	(88, 0.5079006772009029)	(90, 0.5438128462959163)
SRR479054.chr21_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.015390929612148574)	(28, 0.020521239482864766)	(30, 0.020521239482864766)	(32, 0.020521239482864766)	(34, 0.020521239482864766)	(36, 0.020521239482864766)	(38, 0.020521239482864766)	(40, 0.02565154935358096)	(42, 0.03078185922429715)	(44, 0.03078185922429715)	(46, 0.03078185922429715)	(48, 0.03078185922429715)	(50, 0.03078185922429715)	(52, 0.03078185922429715)	(54, 0.03078185922429715)	(56, 0.03078185922429715)	(58, 0.04104247896572953)	(60, 0.04104247896572953)	(62, 0.04104247896572953)	(64, 0.04104247896572953)	(66, 0.04104247896572953)	(68, 0.04104247896572953)	(70, 0.04104247896572953)	(72, 0.04104247896572953)	(74, 0.04104247896572953)	(76, 0.04104247896572953)	(78, 0.04104247896572953)	(80, 0.16416991586291813)	(82, 1.0004104247896572)	(84, 3.2372255284219165)	(86, 5.751077365072851)	(88, 8.25466858198235)	(90, 10.383747178329571)
